Palabra Original,Traducción
efecto corona,Crown effect
impuesto sobre sociedades,corporate tax
desarrollo de nuevos materiales,development of new materials
sobrepeso,overweight
agencia social,social agency
redes eléctricas,electrical networks
aumento de contraste,contrast increase
actrices,actresses
formalismo hamiltoniano,Hamiltonian formalism
empleo,employment
macroeconomía,macroeconomy
mediciones,measurements
neurociencia,neuroscience
modelización elementos finitos,finite element modeling
sentencia,judgment
quantum cryptography,quantum cryptography
infrarrojo medio,mid infrared
recursos,resources
attitudes,attitudes
extractivism,extractivism
papa pío xii,pope pius xii
santa sede,Holy See
archivos vaticanos,vatican archives
servicios tecnológicos consultoría formación técnica a medida,technological services consulting customized technical training
tecnología de autogestión,self-management technology
lenguaje claro,clear language
identification,identification
servidor nimbo,nimbus server
autenticación usuarios,user authentication
sistema de catalogos de contenido,content catalog system
ignición,ignition
pavimentos autorreparadores,self-healing floors
betunes apantallamiento,betunes apantallamiento
reutilización de conocimiento,knowledge reuse
combustibles solares.,solar fuels.
empresas familiares,family businesses
transformador,transformer
menor impacto ambiental,lower environmental impact
sociedad de la información,society of Information
programas gubernamentales de apoyo a los ingresos,government income support programs
medios continuos generalizados,generalized continuous media
otras prioridades tic,other ICT priorities
optical fiber sensors,optical fiber sensors
caracterización indoor,indoor characterization
representación del conocimiento,representation of knowledge
contabilidad crítica.,critical accounting.
capillary transport,capillary transport
suspensión semi-activa,semi-active suspension
mitra,mitra
cámara acústica masiva,massive acoustic chamber
no-gaussianidad,no-gaussianidad
metamateriales,metamateriales
modelos congruentes,congruent models
novel transport technologies,novel transport technologies
contabilidad financiera,financial Accounting
religión griega,greek religion
etnogénesis,etnogenesis
cometas,kites
biometric system on card,biometric system on card
proceso y adquisición de señales,signal processing and acquisition
instagram,instagram
time-lagged ensemble,time-lagged ensemble
eficiencia energética,energy efficiency
remote sensing device (rsd),remote sensing device (rsd)
administración electrónica,electronic administration
homogenizacion,homogenization
reforma agraria,agrarian reform
skin-cancer detection,skin-cancer detection
automoción,automotive
erp,erp
"""macroeconomía""","""macroeconomy"""
audiodescripción,audio description
wireless,wireless
medioambientales,environmental
genealogías,genealogies
financiación,financing
accesible y seguro,accessible and safe
impacto social cambio climático,social impact climate change
servicios digitales,digital services
products ground segment,products ground segment
absentismo laboral,work absenteeism
demography,demography
hormigones,concretes
imaginario,imaginary
microscopía,microscopy
intercambiadores de calor,heat exchangers
sensores sociales,social sensors
subvención,grant
refugees,refugees
empresas transnacioanles,transnational companies
carrier grade,carrier grade
códigos ldpc,ldpc codes
planificación táctica de trayectorias de avión,tactical planning of aircraft trajectories
level1 track trigger,level1 track trigger
vlbi2010,vlbi2010
indigenous peoples,indigenous peoples
– research integrity and research misconduct,– research integrity and research misconduct
integración redes inteligentes,smart grid integration
pac,pac
high-performance i/o,high-performance i/o
especialización productiva,productive specialization
tools,tools
apis,apis
air sector demand,air sector demand
i/o scheduling,i/o scheduling
cicerón,cicero
ciberseguridad,cybersecurity
red eléctrica,electrical network
smart grid,smart grid
investigacion interdisciplinar,interdisciplinary research
cibercrimen,cybercrime
resiliencia,resilience
modelado y,modeling and
aerospace engineering,aerospace engineering
electrodeless plasma thrusters,electrodeless plasma thrusters
electromagnetic plasma heating,electromagnetic plasma heating
convectidores electrónicos,electronic convectors
soft robotics,soft robotics
industria aeronáutica,aeronautical industry
datos de investigación,research data
empresas,companies
geoposicionamiento,geopositioning
detección e identificación on line,online detection and identification
dinámica ferroviaria,railway dynamics
proyectos empresariales,Business projects
arquitectura de sistema,system architecture
wireless massive connectivity,wireless massive connectivity
prácticas de gestión de carbono,carbon management practices
linealizaciones estructuradas,structured linearizations
electrolitos de vanadio,vanadium electrolytes
antitrust,antitrust
distribuciones de temperatura,temperature distributions
carbono/epoxy,carbon/epoxy
acceso a la información,access to information
electrolitos poliméricos e híbridos,polymeric and hybrid electrolytes
optimización de red,network optimization
instrumentación optoelectrónica,optoelectronic instrumentation
vehículos inteligentes,smart vehicles
técnicas combinatorias / combinatorial methods,combinatorial techniques / combinatorial methods
edición genómica,genome editing
gravímetro lna,Flax gravimeter
interoperablidad,interoperability
potencia eléctrica,electrical power
quantum information,quantum information
comercio de moda virtual,virtual fashion commerce
vuelo estratosférico,stratospheric flight
gases licuados del petróleo,liquefied petroleum gases
problemas polinómicos y racionales de autovalores,polynomial and rational eigenvalue problems
consejo epsco,consejo epsco
edificación,building
humedad,humidity
género y política,gender and politics
cfd,cfd
optimización bajo incertidumbre,optimization under uncertainty
inferencia aproximada,approximate inference
propagación de la esperanza (ep),spread of hope (ep)
esfuerzo innovador,innovative effort
derechos de las perosnas mayores,rights of older people
artificial ingelligence privacy enhanced technologies,artificial ingelligence privacy enhanced technologies
aerodinámica,aerodynamics
comunicación para el desarrollo y el cambio social,communication for development and social change
época liberal,liberal era
franquismo.,Francoism.
legislatura,legislature
plantas asfálticas,asphalt plants
protecciones,protections
radio system architecture,radio system architecture
robotics,robotics
human-robot interaction,human-robot interaction
engagement,engagement
5g wireless,5g wireless
models.,models.
modelos no locales,non-local models
nanoestructuras,nanostructures
tratamiento,treatment
dosimetría,dosimetry
historia de las religiones,history of religions
segmentación,segmentation
tolae large area sensors,tolae large area sensors
peines de frecuencia ópticos duales,Dual optical frequency combs
mediación penal,criminal mediation
soft law,soft law
g107 theoretical computer science including quantum information,g107 theoretical computer science including quantum information
g208 networks,g208 networks
redes de difracción,diffraction gratings
ecuatorial,equatorial
internet del futuro,internet of the future
indicadores cualitativos,qualitative indicators
transferencias familiares,family transfers
sistema autonómico,autonomous system
innovación empresarial,business Innovation
datos abiertos,open data
horizonte 2020,horizonte 2020
adn,adn
entrada/salida masiva,mass input/output
high throughput,high throughput
pilas de combustible,fuel cells
sistemas sub-actuados,underactuated systems
cinema and architecture,cinema and architecture
cluster,cluster
requisitos,requirements
ciclo vital,life cycle
materia blanda,soft matter
robot fisioterapia,robot physiotherapy
riesgos laborales,occupational hazards
inversor multinivel,multilevel inverter
celdas de combustible,fuel cells
thermal barrier,thermal barrier
tratamiento de la información,information processing
láseres sintonizables,tunable lasers
lcc,lcc
derechos colectivos,collective rights
medios,media
navier-stokes,navier-stokes
prevención y respuesta a emergencias,prevention and response to emergencies
cambio estructural,structural change
invertibilidad,invertibility
equipamiento eléctrico,electrical equipment
multi-service,multi-service
folículo piloso,hair follicle
sector servicios,service sector
nuevas tecnologías y tendencias en la investigación y fabricación de sensores ir,new technologies and trends in the research and manufacturing of ir sensors
sensado,sense
frecuencias naturales,natural frequencies
efectividad,effectiveness
nanofluidos dieléctricos,dielectric nanofluids
front end processing,front end processing
mecatrónica,Mechatronic
nobleza de mérito,nobility of merit
biomass,biomass
diferenciabilidad,differentiability
semana de la ciencia de madrid,madrid science week
métodos numéricos,numerical methods
informe de resultados,Results report
diccionario histórico,historical dictionary
mobile internet,mobile internet
microwave,microwave
nueva economía asistencial,new care economy
modulación sigma delta,sigma delta modulation
mujeres tecnológicas,technological women
escorias,slag
transferencia,transfer
máquinas lineales,linear machines
métrica quasihyperbólica,quasihyperbolic metric
proveedores,suppliers
factores de riesgo,risk factor's
longevidad,longevity
sensores ir multiespectrales,multispectral ir sensors
foundations of law,foundations of law
dark web. tor. anonimato. vpn. seguimiento de usuarios.,dark web. tor. anonymity. vpn. user tracking.
sdn/nfv,sdn/nfv
sistemas de schrodinger,schrodinger systems
medios de comunicación,media
selección adversa,adverse selection
organización estrategia,organization strategy
contabilidad,accounting
numerical analysis,numerical analysis
conflictividad sociolaboral,socio-labor conflict
programación óptima de generación y demanda,optimal generation and demand scheduling
propulsión eléctrica,electric propulsion
electrónica,electronics
innovación en gestión,management innovation
multimodal interaction,multimodal interaction
microesferas de vidrio,glass microspheres
hipótesis biométrica,biometric hypothesis
mano,thousand
educación online,online education
avión eléctrico,electric plane
european union,european union
vocaciones stem (ciencia,stem vocations (science
tecnología,technology
ingeniería y matemáticas),engineering and mathematics)
atípicos,atypical
investigación en economía,research in economics
formación avanzada en economía,advanced training in economics
atracción y retención de talento,attracting and retaining talent
incentivos excelencia investigadora,research excellence incentives
gestión de tráfico aéreo,air traffic management
física del cáncer,cancer physics
inspección,inspection
egobernanza,egobernanza
crisis financiera internacional,international financial crisis
free-space 360-degree fluorescence tomography anatomical functional and molecular imaging,free-space 360-degree fluorescence tomography anatomical functional and molecular imaging
conocimiento experto,expert knowledge
procesamiento wavelet,wavelet processing
token,token
– fluid dynamics,– fluid dynamics
it,it
productividad y acumulación de capital humano,productivity and accumulation of human capital
microstructura demercados,microstructure of markets
geografía,geography
evolución políticas públicas,public policy evolution
perovskita,perovskite
creacion de valor,value creation
análisis de grafos,graph analysis
esquemas cinéticos reducidos,reduced kinetic schemes
visibilidad internacional,international visibility
fotonica integrada,integrated photonics
turboalimentación,turbocharging
sensor téxtil,textile sensor
bootstrap,bootstrap
intervalos de predicción,prediction intervals
temperatura,temperature
volatilidad,volatility
componentes idiosincráticos correlados,correlated idiosyncratic components
nanomateriales,nanomaterials
registro multimodal,multimodal registration
cargador de batería inalámbrico,wireless battery charger
risk,risk
análisis de producción científica,analysis of scientific production
internet access,internet access
iso/iec 61508,iso/iec 61508
diseño mecánico,mechanical design
administración,administration
ergonomics,ergonomics
estructuras sándwich,sandwich structures
perfomance art,perfomance art
avionics,avionics
cambios socioeconómicos,socioeconomic changes
escritura,writing
medical informatics,medical informatics
practicas de marketing,marketing practices
computación social,social computing
funcional de la densidad,density functional
espacio público,public space
teoría de control,control theory
automatización,automation
disciplina deportiva,Athletic discipline
incertidumbre,uncertainty
representación del contenido,representation of content
actuadores avanzados,advanced actuators
modelos dinámicos en economía,dynamic models in economics
re-distribución,redistribution
alert systems,alert systems
climate risk,climate risk
estrategia de comunicación,communication strategy
compartición de información,information sharing
computación en el borde,edge computing
aplicaciones espaciales,space applications
control de puertos,port control
space,space
confinamiento,lockdown
solicitación dinámica,dynamic request
producción de televisión,TV production
modelos dinámicos complejos,complex dynamic models
modelado probabilístico,probabilistic modeling
inferencia bayesiana,bayesian inference
cambio,change
materiales elevadas propiedades específicas,materials high specific properties
propiedad,property
sociedad civil: ciudadanía,civil society: citizenship
ética,ethic
prevención de riesgos médicos,medical risk prevention
risk management,risk management
historia del cine y la televisión,history of film and television
ahorros,savings
robots mantenimiento,maintenance robots
usability,usability
pruebas de plasma,plasma tests
job creation,job creation
matrices polinomiales,polynomial matrices
wimax vs lte,wimax vs lte
estrategia de control,control strategy
ground station,ground station
deformacion,deformation
formación,formation
wind loads,wind loads
thruster design,thruster design
refuerzo,booster
naturaleza y medio ambiente,nature and environment
mujeres en situación de prostitución,women in prostitution
iberoamérica,latin america
latinoamérica,latin america
adaptive filters,adaptive filters
crecimiento empresarial,Business Growth
historia del cine y la televisión en españa,history of cinema and television in Spain
nanotechnology,nanotechnology
medidas magneto-ópticas,magneto-optical measurements
teoría cinética cuántica,quantum kinetic theory
sistemas de seguridad social,social security systems
flok theorem,bunch theorem
deteción multiheterodina,deteción multiheterodina
orientación al mercado,market orientation
biomechanics,biomechanics
seu,your
doctoral training,doctoral training
heterogeneidad,heterogeneity
arquitecturas centradas en datos,data-centric architectures
instrumentación,instrumentation
técnicas experimentales,experimental techniques
servicios para la sociedad de la información,services for the information society
explicabilidad,explainability
energia renovable,renewable energy
armonización,harmonization
satellite power converters,satellite power converters
cybersecurity,cybersecurity
trustworthy ict,trustworthy ict
trust,trust
rendimiento,performance
tooling,tooling
differences in differences,differences in differences
lfh,lfh
cultivos agroenergéticos,agroenergy crops
optimización robusta,robust optimization
fragmentos de hielo,ice fragments
cannabidiol(cbd),cannabidiol(cbd)
consumo de prostitución,prostitution consumption
distributed ledger technolgy,distributed ledger technolgy
desarrollo de software,software development
tecnologías de la información y comunicación,information and communication technologies
decentralised bargaining,decentralised bargaining
noche,evening
divulgación,disclosure
outreach activities,outreach activities
popular disemination,popular disemination
telefonía móvil,mobile phone
reforma constitucional,Constitutional reform
detección de somnolencia,drowsiness detection
new concepst of citizenship,new concepst of citizenship
5g networks,5g networks
convertidores a/d,a/d converters
razonamiento,reasoning
liderazgo,leadership
deshumidificación. mecánica de fluidos. transferencia de calor y masa.,dehumidification. fluid mechanics. heat and mass transfer.
materiales biodegradables,biodegradable materials
fiabilidad de equipos aeroespaciales,reliability of aerospace equipment
clasificación de paquetes,package sorting
digital home,digital home
control de calidad,QA
vision por computador,computer vision
inatención,inattention
asynchronous communications,asynchronous communications
prueba de concepto para posterior proyecto de i+d+i asociada a explotación pirómetro,proof of concept for subsequent R&D&I project associated with pyrometer exploitation
transporte neoclásico,neoclassical transport
partículas rápidas,fast particles
electrones runaway,runaway electrons
impurezas,impurities
adaptabilidad,adaptability
computación en la nube,Cloud Computing
extrusion termoplastica de metales,thermoplastic extrusion of metals
shafts - flooded - montoring - coalmines,shafts - flooded - montoring - coalmines
product lifecycle monitoring,product lifecycle monitoring
computational imaging,computational imaging
sistema público sanitario,public health system
environment inspection,environment inspection
historia cultural,cultural history
robótica blanda,soft robotics
mantenimiento sostenible,sustainable maintenance
fragilización por hidrógeno,hydrogen embrittlement
industrias sonoras,sound industries
teen pregnancy,teen pregnancy
inteligencia geoespacial,geospatial intelligence
sistemas integrables,integrable systems
ríos,rivers
descarga corona,corona discharge
technologies,technologies
imaging devices,imaging devices
cardiac therapy,cardiac therapy
cardiac surgery,cardiac surgery
therapy surgical procedures,therapy surgical procedures
tissue organs therapy,tissue organs therapy
experiments with plasmas,experiments with plasmas
ibidatformacion,dataformation
compactación polvos,powder compaction
estrategia,strategy
identificación de materiales,material identification
maintenance,maintenance
hielo,ice
contrastes de especificacion restricciones de desigualdad,specification contrasts inequality constraints
análisis de imagenes,image analysis
gestión de contenidos,content management
property rights,property rights
siglo xix,XIX century
secuencias de martingala en diferencias,martingale sequences in differences
exergames,exergames
sspc,sspc
aerodinamica no estacionaria,non-stationary aerodynamics
grabación vídeo multicámara,multi-camera video recording
mercado,mercado
radiation therapy,radiation therapy
bioinformatics,bioinformatics
e-health,e-health
breast cancer,breast cancer
cardiac toxicity,cardiac toxicity
predictive modeling,predictive modeling
espacio,space
penetración de energías renovables variables,penetration of variable renewable energies
eudiw,eudiw
cooperative systems,cooperative systems
co-production,co-production
valor de referencia,reference value
atmospheric pollution (climate change),atmospheric pollution (climate change)
algebras de operadores,operator algebras
context-awarenesss,context-awarenesss
selección de patrones,pattern selection
effects,effects
termoestables,thermostable
nanocomposites,nanocomposites
revenue management,revenue management
network security orchestration,network security orchestration
universidad santiago de compostela,Santiago de Compostela University
desorden,disorder
peer-to-peer,peer-to-peer
mortalidad infantil,Child mortality
gases de efecto invernadero,greenhouse gases
nav navigation / flight management / autoland / uav,nav navigation / flight management / autoland / uav
clustering,clustering
siglo xx,twentieth century
espasticidad,spasticity
daños y perjuicios por sobrecoste,damages for overcharge
divulgacion,divulgation
turnover,turnover
despidos,layoffs
tecnología espacial,space technology
interoperability,interoperability
uncertainty propagation,uncertainty propagation
covid,covid
composites,composites
thermoplastics,thermoplastics
high-strain rate,high-strain rate
cryogenic temperature,cryogenic temperature
micromechanics,micromechanics
multiscale,multiscale
virtual testing,virtual testing
fem,fem
experiments,experiments
micropropulsión,micropropulsion
electrospray,electrospray
bípedo,biped
ondas sub-milimétricas,sub-millimeter waves
turismo accesible,accessible tourism
convertidores electrónicos de potencia,electronic power converters
robótica asistencial,assistive robotics
dlt,dlt
enseñanza secundaria,Secondary education
cybermotions,cybermotions
modelado del usuario,user modeling
contratos,contracts
actuadores,actuators
control inteligente,smart control
– numerical analysis,– numerical analysis
simulation,simulation
optimisation,optimisation
modelling tools,modelling tools
patrones de diseño,design patterns
experimentos,experiments
brotes psicóticos,psychotic breaks
reducción gases efecto invernadero,greenhouse gas reduction
neumático sostenible,sustainable tire
reciclaje de neumáticos,tire recycling
degradación del caucho,rubber degradation
vigilancia tecnológica,technological surveillance
integración de datos,data integration
modelado de tópicos,topic modeling
singularidad,singularity
edición,edition
feedback,feedback
medidas de pulsos,pulse measurements
interaction affordances,interaction affordances
máquina,machine
power electronic converters,power electronic converters
renewable energies,renewable energies
electrical power systems,electrical power systems
grid-forming converters,grid-forming converters
analítica de empresa,business analytics
tensión superficial,surface tension
convocatora internacional,international call
conflictos,conflicts
discriminación en el empleo,employment discrimination
r&i policy,r&i policy
european universities,european universities
r&i agenda,r&i agenda
community-engaged r&i,community-engaged r&i
flipped,flipped
airframe design and system integration,airframe design and system integration
acción administrativa,administrative action
paquetes de trabajo,work packages
irradiación de circuitos integrados,irradiation of integrated circuits
sees,sees
d-band,d-band
alogénicas,allogeneic
pensamiento político clásico,classical political thought
fluidización,fluidization
tarjetas inteligentes sin contactos,contactless smart cards
sistemas de asistencia a la conducción,driving assistance systems
semiconductor industry,semiconductor industry
cálculos térmicos,thermal calculations
servicio,service
gestión de rrhh,HR management
calidad de agua,water quality
análisis,analysis
parallel heterogeneous computing,parallel heterogeneous computing
ergodicidad,ergodicity
fiscalidad internacional,international taxation
transformación digital,digital transformation
ecomomia laboral,labor economy
web services deep learning reinforcement learning optimal nutrition insulin control models,web services deep learning reinforcement learning optimal nutrition insulin control models
geometría diferencial,differential geometry
franquismo,Francoism
spanish cinema,spanish cinema
evaluación,assessment
replicación,replication
análisis estadísticos,statistical analysis
espectroscopia de ondas milimétricas,millimeter wave spectroscopy
critical raw materials,critical raw materials
almacenamiento grandes volúmenes de datos,storage large volumes of data
modelos lineales mixtos,linear mixed models
subtítulos,subtitles
grupo de control,control group
receptor central de sales,central salt receptor
tecnología de videojuegos,video game technology
experimentos conductuales,behavioral experiments
ciencia social computacional,computational social science
modelos,models
metaheurísticas,metaheurísticas
pasiones,passions
estimación espectral de máximo margen,maximum margin spectral estimate
datos anómalos,abnormal data
problema de autovalores,eigenvalue problem
servicio de prevención ajeno,foreign prevention service
predicción,prediction
cristal líquido,liquid crystal
collision avoidance,collision avoidance
arte electrónico,electronic art
fast marching square algorithms,fast marching square algorithms
experimentos sobre comportamiento,behavioral experiments
motores de combustión interna,internal combustion engines
evaluación económica,economic evaluation
educación,education
apoyo a cuidadores,support for caregivers
filosofía experimental,experimental philosophy
digitalización,digitization
sensores cuánticos,quantum sensors
cooperation,cooperation
redes eléctricas inteligentes,smart electrical grids
high data-rate wireless communication links,high data-rate wireless communication links
natural resources,natural resources
tratamiento de señal,signal treatment
trenchless technologies,trenchless technologies
arquitectura de protocolos,protocol architecture
superconductor de alta temperatura crítica,high critical temperature superconductor
porous materials,porous materials
terapia génica,gene therapy
plan avanza,plan advances
ue y cndumi,ue and cndumi
aprendizaje relacional,relational learning
densidad,density
instituto de crédito oficial (ico),official credit institute (ico)
social context,social context
tax,tax
fabricación de sistemas,system manufacturing
redes de acceso de radio,radio access networks
multi-operator,multi-operator
baterías de ion litio,lithium ion batteries
televisión en españa,television in spain
lightweight alloys,lightweight alloys
programación matemática,mathematical programming
economía matemática,mathematical economics
robótica,robotics
data,data
mercados competitivos,competitive markets
colada en cinta,tape casting
métodos de agrupamiento,clustering methods
vigilancia y seguridad espacial,space surveillance and security
conduccion autonoma,autonomous driving
elasticidad,elasticity
áreas pequeñas,small areas
multipath routing,multipath routing
multiplexores,multiplexores
codificación temporal de señales analógicas,time coding of analog signals
environment perception,environment perception
economia de la salud,health economics
time series,time series
energías renovables,renewable energy
evaluación institucional,institutional evaluation
química,chemical
maría de maeztu,maria de maeztu
realidad virtual (rv),virtual reality (vr)
aproximación racional,rational approach
espacios rurales y naturales,rural and natural spaces
españa,Spain
cine ficción,fiction cinema
paisaje,landscape
turismo,turismo
neuromórfica,neuromorphic
neurorrobótica,neurorobotics
sistemas ciberfísicos,cyberphysical systems
pre-treatment,pre-treatment
gastos de desarrollo,development expenses
convertidores bidireccionales,bidirectional converters
aprendizaje profundo,deep learning
optical communications,optical communications
análisis de imagen,image analysis
codificación,coding
estabilidad dinámica,dynamic stability
mapas entornos,environment maps
calibraciones,calibrations
vehículos,vehicles
enac metrologia legal,enac legal metrology
electrodos gruesos,thick electrodes
graduate tracking,graduate tracking
edge computing,edge computing
rfid,rfid
exclusion,exclusion
renewable energy,renewable energy
mixed methods,mixed methods
publicaciones científicas,Scientific Publications
biología sintética,synthetic biology
modelos de decisión markovianos,Markovian decision models
reconocimiento de la actividad humana,recognition of human activity
electrónica de control,control electronics
atractivo físico,physical attractiveness
conmutación óptica,optical switching
física de plasmas,plasma physics
female labour force participation,female labour force participation
sinterabilidad del silicato de circonio,sinterability of zirconium silicate
proceso de inyección,injection process
nuevos sistemas ligantes,new binder systems
binders,binders
género,gender
desinformación,disinformation
transparencia,transparency
fake news,fake news
post verdad,post truth
noticias automatizadas,automated news
imaginarios,imaginary
comunicaciones cuánticas,quantum communications
política lingüística,linguistic politic
derecho de obligaciones,right of obligations
enriquecimiento injustificado,unjustified enrichment
pago indebido,improper payment
derecho civil,civil law
industry,industry
computer vision,computer vision
investigación en economía avanzada,research in advanced economics
siglo de oro español,spanish golden century
mujer rural,rural woman
ecuaciones de hamilton-jacobi,hamilton-jacobi equations
getafe,Getafe
physical optics,physical optics
economías emergentes,emerging economies
conservatism,conservatism
calidad del suministro electrico,quality of electrical supply
samaras,samaras
modelado 1d,1d modeling
sistema antivuelco,anti-tip system
bio-inspiración,bio-inspiration
micro-vehículos aéreos,micro-aerial vehicles
rotación,rotation
redes vehiculares (vanet),vehicular networks (vanet)
comportamiento colectivo,collective behavior
consejo de administración,board of directors
gestión del tráfico aéreo,air traffic management
costes del comercio,trade costs
diseño industriañ,industrial design
dinámica de vuelo,flight dynamics
high-throughput payloads,high-throughput payloads
reconocimiento de habla robusto,robust speech recognition
putero,butter
transferencia de calor y masa,heat and mass transfer
ruido de chorros,jet noise
neurología,neurology
multiplexación,multiplexing
tecnología de polvos caracterización microestructural manufactura aditiva ciencia de,powder technology microstructural characterization additive manufacturing powder science
gravedad,gravity
organización territorial,Territorial organization
labour market,labour market
carrier tunability,carrier tunability
veloccidad de deformación,warp speed
qr,qr
evolución diacrónica,diachronic evolution
comercio exterior,foreign trade
gestión de alarmas,alarm management
tasa de mortalidad,mortality rate
amplificador de bajo ruido,low noise amplifier
radar y teledetección,radar and remote sensing
components,components
crawler,crawler
interfaces conversacionales,conversational interfaces
superhidrofobicidad,superhydrophobicity
interacción plasma-onda,plasma-wave interaction
access convergence,access convergence
comportamiento humano,human behavior
tomography,tomography
biotechnology,biotechnology
arquitecturas hibridas,arquitecturas hybrid
sociología ecológica,ecological sociology
modelos celulares,cell phone models
ticn,tick
celdas,cells
variación,variation
cultos mistéricos,mystery cults
standards,standards
context adaptivity,context adaptivity
neuro-fuzzy,neuro-fuzzy
banca,bank
deteccion de la somnolencia,drowsiness detection
"""re-entradas en la atmósfera""","""re-entries into the atmosphere"""
clivajes sociales,social cleavages
seguridad a vuelco,rollover safety
financing costs.,financing costs.
estromatolitos,stromatolites
vacunación,vaccination
taladro,drill
femtoceldas,femtocells
inclusion,inclusion
seguridad en robots de servicio,safety in service robots
cátedras,chairs
igualdad en el mercado laboral,equality in the labor market
uniones adhesivas estructurales,structural adhesive joints
genéricos,generics
legal,legal
learning,learning
epidemiología,epidemiology
derechos humanos.,human rights.
redes y sistemas bioinspirados,Bioinspired networks and systems
smart objects,smart objects
autoorganizado,self-organized
user awareness,user awareness
function allocation,function allocation
cfrp,cfrp
politización,politicization
fotónica,photonics
técnicas caracterización,characterization techniques
sensorics,sensorics
sistemas fluídicos,fluidic systems
estigma,stigma
ground penetrating radar,ground penetrating radar
servicios complementarios de red,complementary network services
red 3d,red 3d
modelos valoración,valuation models
embodied learning,embodied learning
redes metal-orgánicas,metal-organic networks
intergenerational transmission,intergenerational transmission
robot de asistencia,assistance robot
manipulador móvil,mobile manipulator
manipulación,handling
agarre,grip
modelado del entorno,environment modeling
planificación de trayectorias.,path planning.
evaluación políticas públicas,public policy evaluation
fpgas,fpgas
- persona de contacto,- contact person
instrumentación con fibras ópticas,fiber optic instrumentation
intermediación,intermediation
sistemas de ayuda a la conducción,driving assistance systems
baterías,batteries
modulación por frecuencia de pulsos,pulse frequency modulation
creterios de fallo,definitely a fallo
information,information
virus,virus
heterogeneous dataset,heterogeneous dataset
redes neuronales,neural networks
supercomputación,supercomputing
calculo de variaciones,calculation of variations
cubesat,cubesat
cultura escrita,written culture
suficiencia financiera,financial sufficiency
indivisibles,indivisible
aproximación hermite-padé,hermite-padé approach
hidrógeno.,hydrogen.
corrupción concursos,corruption contests
propagación de luz en tejidos,light propagation in tissues
auditorias,audits
diodo térmico,thermal diode
combustible,combustible
vocaciones stem en niñas,stem vocations in girls
passive monitoring,passive monitoring
multiculturalism,multiculturalism
neuroprosthetics,neuroprosthetics
control robusto,robust control
daño,damage
plataforma de aprendizaje,learning platform
sistemas ciber-físicos,cyber-physical systems
sistema de distribución de energía,power distribution system
ion beam,ion beam
assistance robot,assistance robot
mobile manipulator,mobile manipulator
manipulation,manipulation
grasping,grasping
environment modeling,environment modeling
path planning.,path planning.
seguro de vida,life insurance
resultados de política pública,public policy results
shape memory alloy,shape memory alloy
tecnología gap waveguide,gap waveguide technology
discapacidad sensorial,sensory disability
cine y sociedad,cinema and society
propulsión espacial,space propulsion
validación clínica de robots,clinical validation of robots
orbit determination,orbit determination
navigation and guidance,navigation and guidance
suavizado,smoothed
separación ciega,blind separation
análisis de vibraciones,Vibration analysis
phishing,phishing
contenidos audiovisuales,audiovisual content
fiscalidad directa,direct taxation
imagenes,images
gestión semántica de conocimiento,semantic knowledge management
victima,victim
energy-aware,energy-aware
rpas,rpas
regional aircraft,regional aircraft
ión-litio,lithium-ion
equipaje,luggage
multi-tenancy,multi-tenancy
tecnologías industriales y robótica aplicada,industrial technologies and applied robotics
valoracion activos,asset valuation
imdea networks,imdea networks
clasificación de escenas acústicas,acoustic scene classification
procesado de señal,signal processing
edad bilógica,biological age
cartografía,cartography
seleccion adversa,adverse selection
mantenimiento preventivo,Preventive Maintenance
desarrollo regional,regional development
circuitos integrados digitales,digital integrated circuits
pueblos indígenas,Indigenous villages
internacionalización,internationalization
planes estratégicos,Strategic plans
servicios post-viaje,post-travel services
física de materiales,physics of materials
biofuncionalización,biofunctionalization
compsites in-situ,compsites in-situ
modificación superficial,surface modification
corrosión,corrosion
desgaste,wear
tribocorrosión,tribocorrosion
deep sub micron technology,deep sub micron technology
edicion libro,book edition
presupuestos,budgets
ramas del ordenamiento juridico,branches of the legal system
precios de derivados,derivatives prices
descontaminación tanques de combustible,fuel tank decontamination
infancia,childhood
aplicación a vulnerabilidad social,application to social vulnerability
flujos de información en grafos,information flows in graphs
gasificación de biomasa,biomass gasification
sustainability reporting,sustainability reporting
intellectual property rights,intellectual property rights
objetivos ods,ods goals
elearning,elearning
linked open data,linked open data
redes de,networks of
encuestas,surveys
inteligencia competitiva,competitive intelligence
excellence,excellence
science shops ecosystem,science shops ecosystem
directiva,directive
sintáxis,syntax
cohesión social,social cohesion
comportamiento y enfermedad mental,behavior and mental illness
acción humanitaria,humanitarian action
diáspora,diaspora
entrenamiento,training
tareas novedosas,novel tasks
contiendas,disputes
contagion,contagion
solar cells,solar cells
protocolos de seguridad,security protocols
desarrollo y medio ambiente,development and environment
cambio climatico,climate change
puntos críticos,critical points
matching,matching
formation flying,formation flying
herramientas de diseño,design tools
comunicaciones aeronáuticas,aeronautical communications
monitorización del daño con código abierto en las spt,open source damage monitoring in spt
informativos territoriales,territorial news
extra-large digital resources,extra-large digital resources
análisis jerárquico,hierarchical analysis
judges,judges
content networks,content networks
electron cooling,electron cooling
molecular imaging,molecular imaging
non-terrestrial networks,non-terrestrial networks
clase social,social class
transmisión cultural,cultural transmission
realidad virtual/aumentada/mixta,virtual/augmented/mixed reality
acero inoxidable dúplex,duplex stainless steel
genero,genre
social netowork analysis,social netowork analysis
iris,iris
alta temperatura.,high temperature.
